Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Faaborgkredsen,,Michael Jensen,Kristendemokraterne,0
Faaborgkredsen,,Simon Lavdal,Kristendemokraterne,0
Faaborgkredsen,,Jenan Jamel Bozo,Kristendemokraterne,0
Faaborgkredsen,,Kim Slott,Kristendemokraterne,0
Faaborgkredsen,,Per Nansted,Kristendemokraterne,0
Faaborgkredsen,,Margit Lund-Cramer,Kristendemokraterne,0
Faaborgkredsen,,Jens Ole Madsen,Kristendemokraterne,0
Faaborgkredsen,,Partiliste,Dansk Folkeparti,0
Faaborgkredsen,,René Jørgensen,Dansk Folkeparti,0
Faaborgkredsen,,Eva Jørgensen,Dansk Folkeparti,0
Faaborgkredsen,,Lars Kolling,Dansk Folkeparti,0
Faaborgkredsen,,Carsten Kudsk,Dansk Folkeparti,0
Faaborgkredsen,,Jens Henrik W. Thulesen Dahl,Dansk Folkeparti,0
Faaborgkredsen,,Alex Ahrendtsen,Dansk Folkeparti,0
Faaborgkredsen,,Pernille Bendixen,Dansk Folkeparti,0
Faaborgkredsen,,Betina Signe Stick,Dansk Folkeparti,0
Faaborgkredsen,,Partiliste,Stram Kurs,0
Faaborgkredsen,,Martin Christensen,Stram Kurs,0
Faaborgkredsen,,Mikkel Brinck Søberg,Stram Kurs,0
Faaborgkredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Ole Pedersen,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Marlene Ambo-Rasmussen,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Erling Bonnesen,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Mark Grossmann,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Jane Heitmann,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Araz Khan,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Bo Libergren,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Lars Chr. Lilleholt,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Vibeke Syppli Enrum,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Victoria Velasquez,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Jesper Kiel,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Reza Javid,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Jonas Hulgaard Ammundsen,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Camille Hvillum,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Kasper Philbert,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Partiliste,Alternativet,0
Faaborgkredsen,,Stine B. Helles,Alternativet,0
Faaborgkredsen,,Fabian Munkholm Davidsen,Alternativet,0
Faaborgkredsen,,Mikkel Holm-Pedersen,Alternativet,0
Faaborgkredsen,,Line Gessø Hansen,Alternativet,0
Faaborgkredsen,,Tine Busk,Alternativet,0
Faaborgkredsen,,Karl Magnus Bidstrup,Alternativet,0
Faaborgkredsen,,Mette Rahbek,Alternativet,0
Faaborgkredsen,,Partiliste,Socialdemokratiet,0
Faaborgkredsen,,Kim Aas,Socialdemokratiet,0
Faaborgkredsen,,Trine Bramsen,Socialdemokratiet,0
Faaborgkredsen,,Bjørn Brandenborg,Socialdemokratiet,0
Faaborgkredsen,,Erik Christensen,Socialdemokratiet,0
Faaborgkredsen,,Alexander Grandt,Socialdemokratiet,0
Faaborgkredsen,,Jan Johansen,Socialdemokratiet,0
Faaborgkredsen,,Dan Jørgensen,Socialdemokratiet,0
Faaborgkredsen,,Julie Skovsby,Socialdemokratiet,0
Faaborgkredsen,,Partiliste,Radikale Venstre,0
Faaborgkredsen,,Søren Hillers,Radikale Venstre,0
Faaborgkredsen,,Rasmus Helveg Petersen,Radikale Venstre,0
Faaborgkredsen,,Anne Skau Styrishave,Radikale Venstre,0
Faaborgkredsen,,Camilla Hersom,Radikale Venstre,0
Faaborgkredsen,,Partiliste,Det Konservative Folkeparti,0
Faaborgkredsen,,Mai Mercado,Det Konservative Folkeparti,0
Faaborgkredsen,,Kristian Guldfeldt,Det Konservative Folkeparti,0
Faaborgkredsen,,Roya Moore,Det Konservative Folkeparti,0
Faaborgkredsen,,Jørgen Nielsen,Det Konservative Folkeparti,0
Faaborgkredsen,,Camilla Lydiksen,Det Konservative Folkeparti,0
Faaborgkredsen,,Caroline Lauritsen,Det Konservative Folkeparti,0
Faaborgkredsen,,Partiliste,Nye Borgerlige,0
Faaborgkredsen,,Klaus Kroll,Nye Borgerlige,0
Faaborgkredsen,,Annette Skov Andersson,Nye Borgerlige,0
Faaborgkredsen,,Benny Bindslev,Nye Borgerlige,0
Faaborgkredsen,,Partiliste,Klaus Riskær Pedersen,0
Faaborgkredsen,,Gert Dyrn,Klaus Riskær Pedersen,0
Faaborgkredsen,,Partiliste,SF - Socialistisk Folkeparti,0
Faaborgkredsen,,Karsten Hønge,SF - Socialistisk Folkeparti,0
Faaborgkredsen,,Line Mørk,SF - Socialistisk Folkeparti,0
Faaborgkredsen,,Ditte Helene Rasmussen,SF - Socialistisk Folkeparti,0
Faaborgkredsen,,Rasmus Peter Henriksen,SF - Socialistisk Folkeparti,0
Faaborgkredsen,,Anders Funch Engelstad,SF - Socialistisk Folkeparti,0
Faaborgkredsen,,Dennis Ørsted Petersen,SF - Socialistisk Folkeparti,0
Faaborgkredsen,,Pia Havgaard Henriksen,SF - Socialistisk Folkeparti,0
Faaborgkredsen,,Partiliste,Liberal Alliance,0
Faaborgkredsen,,Carsten Bach,Liberal Alliance,0
Faaborgkredsen,,Ken Nørregaard,Liberal Alliance,0
Faaborgkredsen,,Lars Christensen,Liberal Alliance,0
Faaborgkredsen,,Frederik Nilausen Dam,Liberal Alliance,0
Faaborgkredsen,,Jonas Møller Simonsen,Liberal Alliance,0
Faaborgkredsen,,Maria Dahl Hedegaard,Liberal Alliance,0
Faaborgkredsen,,Partiliste,Kristendemokraterne,0
Faaborgkredsen,,Gert Broxgaard,Kristendemokraterne,0
Faaborgkredsen,,Rise Eskildsen,Kristendemokraterne,0
Faaborgkredsen,,Michael Jensen,Kristendemokraterne,0
Faaborgkredsen,,Simon Lavdal,Kristendemokraterne,0
Faaborgkredsen,,Jenan Jamel Bozo,Kristendemokraterne,0
Faaborgkredsen,,Kim Slott,Kristendemokraterne,0
Faaborgkredsen,,Per Nansted,Kristendemokraterne,0
Faaborgkredsen,,Margit Lund-Cramer,Kristendemokraterne,0
Faaborgkredsen,,Jens Ole Madsen,Kristendemokraterne,0
Faaborgkredsen,,Partiliste,Dansk Folkeparti,0
Faaborgkredsen,,René Jørgensen,Dansk Folkeparti,0
Faaborgkredsen,,Eva Jørgensen,Dansk Folkeparti,0
Faaborgkredsen,,Lars Kolling,Dansk Folkeparti,0
Faaborgkredsen,,Carsten Kudsk,Dansk Folkeparti,0
Faaborgkredsen,,Jens Henrik W. Thulesen Dahl,Dansk Folkeparti,0
Faaborgkredsen,,Alex Ahrendtsen,Dansk Folkeparti,0
Faaborgkredsen,,Pernille Bendixen,Dansk Folkeparti,0
Faaborgkredsen,,Betina Signe Stick,Dansk Folkeparti,0
Faaborgkredsen,,Partiliste,Stram Kurs,0
Faaborgkredsen,,Martin Christensen,Stram Kurs,0
Faaborgkredsen,,Mikkel Brinck Søberg,Stram Kurs,0
Faaborgkredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Ole Pedersen,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Marlene Ambo-Rasmussen,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Erling Bonnesen,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Mark Grossmann,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Jane Heitmann,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Araz Khan,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Bo Libergren,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Lars Chr. Lilleholt,"Venstre, Danmarks Liberale Parti",0
Faaborgkredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Vibeke Syppli Enrum,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Victoria Velasquez,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Jesper Kiel,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Reza Javid,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Jonas Hulgaard Ammundsen,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Camille Hvillum,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Kasper Philbert,Enhedslisten - De Rød-Grønne,0
Faaborgkredsen,,Partiliste,Alternativet,0
Faaborgkredsen,,Stine B. Helles,Alternativet,0
Faaborgkredsen,,Fabian Munkholm Davidsen,Alternativet,0
Faaborgkredsen,,Mikkel Holm-Pedersen,Alternativet,0
Faaborgkredsen,,Line Gessø Hansen,Alternativet,0
Faaborgkredsen,,Tine Busk,Alternativet,0
Faaborgkredsen,,Karl Magnus Bidstrup,Alternativet,0
Faaborgkredsen,,Mette Rahbek,Alternativet,0
